delta,f_drive,f_brake,gamma_y
-0.04109531602548252,317.41427473171206,-41.90559582462294,38.7227659985012
0.03816609281240462,310.72127714328303,-42.795465513739,-54.19395737831717
-0.03890592407750014,309.9186583307139,-42.904483900548065,46.33886532372802
0.03917943191694017,311.75894992780417,-42.65149191918678,-45.908843433164066
-0.03903325569184973,314.888315351433,-42.22823573766608,46.97110388358153
0.039020380172324315,316.25287958707344,-42.04680069947543,-46.72704329769946
-0.03916306109309448,317.54085834428446,-41.87644261057797,45.93994496400152
0.03895422141072637,318.8176071457081,-41.70922036344423,-46.878064029029375
-0.039215010237993196,319.4931310366497,-41.62115188109693,45.22744222222001
0.038959494039038874,320.76448172636617,-41.456661217633744,-46.46659738560248
-0.03925124219420296,321.2313671848179,-41.3963808965612,44.56009890492972
0.03899733196375787,322.2483365975838,-41.26624356940974,-45.79617503515051
-0.03929243117204258,322.40577562295783,-41.24586625961877,43.85076629221475
0.03903678067377655,323.128665714573,-41.154111175088886,-45.08259343973366
-0.039336789495620285,323.00266264817265,-41.169782590416276,43.10163763414529
0.039072718555497536,323.4336949346421,-41.1154122104204,-44.38202148960371
-0.039397486939322456,322.7862331798878,-41.19725877712114,42.309210160918234
0.0391591614022613,322.60004275400536,-41.2213835372734,-43.58807364348139
-0.03945224535592769,321.4567210798635,-41.367175834319426,41.7787312067391
0.03917989301833744,321.24844601063967,-41.3945113325439,-43.21251329060091
-0.039460384833096926,320.317373046991,-41.51395450791742,41.42626283072479
0.03917230113197641,320.6814594946882,-41.46758700956851,-42.899073974162846
-0.0395665905725255,319.7995061628044,-41.58102190273146,40.61460387635776
0.03901805010914667,321.4475771554467,-41.36893837689306,-43.335696422079735
-0.03991354505591826,319.57656692396523,-41.61016998166617,38.49740003449461
0.03849855497820656,324.0631312063796,-41.03554939223232,-45.59717217058456
-0.040661363692066584,318.83362250517814,-41.707492647058785,33.963842719320496
0.037620186158742706,327.559593622074,-40.597735728769756,-49.92824844778635
-0.04176888069972004,315.96857741038286,-42.08595387052843,27.316803975854757
