x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-63.13130818134915,2105.615948381256,3871.073804613868,-63.13130818134915,2342.8911401049863,3909.796570612369,102.71160989904463,-2089.0095617639245,3655.734913148561,102.71160989904463,-2193.773474023081,3694.457679147062
-63.398269088083964,-2356.324422652266,3918.0663226937227,-63.398269088083964,-2127.0191982365,3863.8723653154057,99.18713716700692,2180.22965108049,3701.6552874976105,99.18713716700692,2070.365698001475,3647.4613301192935
-63.43097460412668,2097.4484771910334,3867.8619853512146,-63.43097460412668,2326.1568311643996,3914.200850674943,98.76402408336055,-2059.6886072564826,3651.3228718465803,98.76402408336055,-2165.2964646405353,3697.6617371703087
-63.3550770097183,-2327.5443918037518,3913.8359671758567,-63.3550770097183,-2097.5988737785174,3867.927123742693,99.73476827817792,2167.044680794675,3697.5937458953977,99.73476827817792,2061.350517486129,3651.684902462234
-63.22810015526209,2100.644192662216,3867.1446245015372,-63.22810015526209,2330.3693783977224,3914.115728385119,101.38410222629649,-2061.750246519105,3651.405134326991,101.38410222629649,-2167.925219524149,3698.376238210573
-63.17366964380489,-2329.0139667971616,3913.885115542022,-63.17366964380489,-2099.5071917750283,3867.1580722443223,102.10267135175484,2167.1127532249557,3698.3640919065238,102.10267135175484,2061.1150818655765,3651.637048608824
-63.12256221713565,2098.788141625128,3867.4498454335494,-63.12256221713565,2328.674797109418,3913.3897903975508,102.78073234813984,-2062.4123539929105,3652.134652726087,102.78073234813984,-2168.167728166251,3698.0745976900885
-63.07239554299554,-2328.775712225134,3913.75891478184,-63.07239554299554,-2099.560591517527,3866.8808507528106,103.45255119827841,2166.69802285381,3698.6472054571227,103.45255119827841,2060.694599222201,3651.7691414280935
-63.04597499829134,2096.8423815654014,3867.6545902624093,-63.04597499829134,2326.6205526711474,3912.8820324846292,103.80792684021866,-2062.1354481871813,3652.6499989170024,103.80792684021866,-2167.53059989578,3697.8774411392224
-62.99662779925239,-2327.2015489656037,3913.4032941432365,-62.99662779925239,-2098.191766193684,3866.9366967576343,104.47650031776955,2165.9964719959335,3698.6006372745614,104.47650031776955,2060.2372640990106,3652.1340398889593
-62.97854370293062,2094.8851222204135,3867.8560154582615,-62.97854370293062,2324.493312506753,3912.4161143631914,104.72199911120991,-2061.7189707738903,3653.1266716711,104.72199911120991,-2166.7580526725906,3697.68677057603
-62.93950250478518,-2325.1452710456056,3912.957023451309,-62.93950250478518,-2096.296586229439,3867.1608484161584,105.25651128302313,2165.2969688186286,3698.3884663049753,105.25651128302313,2059.890655785966,3652.5922912698247
-62.9333893118479,2092.910294979235,3868.1249197483294,-62.9333893118479,2322.3599347630457,3911.975686040544,105.33930625766835,-2061.389394449118,3653.5800183042275,105.33930625766835,-2166.057875339201,3697.430784596442
-62.90586278648893,-2322.942976679474,3912.538408885272,-62.90586278648893,-2094.2661796791695,3867.455815445538,105.71910232038194,2164.539033844457,3698.107089228145,105.71910232038194,2059.5098813290733,3653.024495788411
-62.91056421108715,2090.78909174501,3868.4605190416387,-62.91056421108715,2320.0785997310772,3911.5621566757836,105.65296650411626,-2061.01026713183,3654.007547461678,105.65296650411626,-2165.2863238373475,3697.109185095823
-62.89425309708838,-2320.6600915461167,3912.1725499593936,-62.89425309708838,-2092.1668925203053,3867.79052846979,105.87935672335017,2163.679170504092,3697.786532365715,105.87935672335017,2059.0283745326915,3653.4045108761115
-62.918807067098605,2088.680259240422,3868.882527961261,-62.918807067098605,2317.8827104438005,3911.1917381221792,105.53925653263288,-2060.776480651248,3654.3917827631685,105.53925653263288,-2164.657458356997,3696.7009929240867
-62.92604449514428,-2319.1541074968723,3911.8500167050497,-62.92604449514428,-2090.5938134351895,3868.261943061568,105.44133636766121,2163.6907254640655,3697.327996164438,105.44133636766121,2059.3838267132896,3653.7399225209565
-62.969782184258094,2087.7976332787466,3869.2609793809033,-62.969782184258094,2317.042346671429,3911.0397105876423,104.84051707118105,-2061.1804770375093,3654.5553331562,104.84051707118105,-2164.8366892340578,3696.334064362939
-62.977982833725434,-2318.1679056946527,3911.776429343906,-62.977982833725434,-2089.6814806392804,3868.563916053305,104.73091243692424,2163.461662386117,3697.0362369800546,104.73091243692424,2059.3459794056475,3653.823723689454
-63.01381578633749,2086.53446810517,3869.5338585643267,-63.01381578633749,2315.636289927809,3910.9601213950514,104.24148732002523,-2060.720373454254,3654.644058520021,104.24148732002523,-2164.165953256225,3696.070321350746
-62.99990553683282,-2316.4165254100635,3911.6703151853567,-62.99990553683282,-2088.1530408758063,3868.7712412111937,104.43280404354361,2162.394316245928,3696.837518181215,104.43280404354361,2058.5006396753374,3653.938444207052
-63.0339360047817,2084.927486523849,3869.986005928532,-63.0339360047817,2314.1948145658002,3910.6006098048897,103.96914039896912,-2061.1250872769833,3655.011550093875,103.96914039896912,-2164.2364562369976,3695.6261539702327
-62.970310947030185,-2315.1201062227656,3911.8328705853014,-62.970310947030185,-2087.5075039932804,3868.4971741632216,104.83559260045796,2160.4894489454305,3697.1203734712526,104.83559260045796,2056.58629772366,3653.784677049173
-63.04268042846211,2081.933558573715,3871.067500287537,-63.04268042846211,2312.0448083085753,3909.5649003220315,103.85184116376259,-2063.50719333661,3656.0554419210457,103.85184116376259,-2165.8734328396213,3694.5528419555403
-62.87029425163196,-2314.5446152578693,3912.7617521317466,-62.87029425163196,-2088.6598112748957,3867.164579961162,106.21004742285653,2156.166312341911,3698.463964650707,106.21004742285653,2051.720490218579,3652.8667924801225
-63.0718772280799,2074.9671727683385,3873.3996500403528,-63.0718772280799,2306.936855598293,3907.3634927596736,103.46090442129052,-2068.085530908194,3658.266427085891,103.46090442129052,-2168.828141825564,3692.2302698052117
-62.73895015259319,-2316.1491179870754,3914.65722176824,-62.73895015259319,-2092.8319962430037,3864.728973320454,108.04584136339624,2150.324746337902,3700.913003495542,108.04584136339624,2044.6374144965737,3650.9847550477557
-63.185415595120794,2064.6379140374206,3876.958715928952,-63.185415595120794,2299.5103234510707,3904.2755199048065,101.95268962919896,-2074.7684274260996,3661.3641958705416,101.95268962919896,-2173.122168969055,3688.680999846396
-62.63924120881266,-2321.101386858888,3917.3091576841953,-62.63924120881266,-2100.427500989821,3861.6644028591795,109.46073256018347,2145.182578523391,3703.990541456154,109.46073256018347,2037.657716171443,3648.3457866311383
-63.45088477820715,2054.0478651595167,3881.3747336151264,-63.45088477820715,2292.9855305096125,3900.9129095595076,98.52120797512431,-2084.3472232107065,3664.7325516587257,98.52120797512431,-2180.024041866216,3684.270727603107
