x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-51.4493395141459,-288.0646327443661,3931.269185818185,-51.4493395141459,-271.0693976964286,3664.422673257628,2196.5530164998167,-306.91730066541925,4233.450631465854,2196.5530164998167,-290.4391210068006,3966.6041189052967
-51.90999933709953,-286.2961593104806,4040.689221861994,-51.90999933709953,-269.95541694264995,3773.8724927670905,1431.2296905755322,-308.5923922396212,4125.731232690969,1431.2296905755322,-291.488948502378,3858.9145035960655
-54.27609246938739,-264.29591440382427,4165.9758497100065,-54.27609246938739,-250.6925900107072,3916.133059519878,489.2580724349755,-291.77227166483965,3983.698691048864,489.2580724349755,-275.97258438210537,3733.8559008587354
-292.262424337423,-214.16542626106042,4275.947776960018,-292.262424337423,-205.25052740235404,4067.186292387973,-200.48407421524604,-248.52868480909507,3831.399752966812,-200.48407421524604,-236.74011303730128,3622.638268394767
-718.6343876402528,-128.00837522831225,4339.3040598687885,-718.6343876402528,-124.58169750729053,4203.499668806627,-490.0067885013525,-170.18002228983693,3692.705793044638,-490.0067885013525,-164.6712314322754,3556.901401982476
-902.965317660424,-2.022995308649719,4325.5197179237675,-902.965317660424,-1.9247520777535465,4300.874593000933,-613.5415227621899,-50.109365871614294,3592.46546266708,-613.5415227621899,-49.779354014064886,3567.8203377442446
-904.1597487258881,158.63102857754436,4249.194882120107,-904.1597487258881,162.69740950362635,4374.225115120398,-614.3441685149105,110.89092340528202,3516.250898142498,-614.3441685149105,114.21501421267041,3641.281131142789
-905.1188793122002,340.9983096553852,4158.021590111175,-905.1188793122002,362.07266124725214,4462.314015839017,-614.9916373472903,299.50662853948586,3425.2983068946132,-614.9916373472903,322.18985930523223,3729.5907326224547
-905.9204313284564,526.5268478739476,4060.0863679051654,-905.9204313284564,580.4739055175713,4557.08846976192,-615.5351185170662,495.4312823098255,3327.6582618756006,-615.5351185170662,558.59792939071,3824.660363732355
-906.72604480628,695.7439300169309,3965.2849521846647,-906.72604480628,795.5699126229732,4648.72505567614,-616.0807095912287,677.9924754536872,3233.1513851520267,-616.0807095912287,800.2767398888551,3916.591488643502
-907.7476673576704,831.9734094222623,3883.685431575293,-907.7476673576704,981.8272384851641,4727.252162418362,-616.7673449638974,830.0964196503473,3151.746998962174,-616.7673449638974,1019.5391018183946,3995.313729805243
-909.1662823928847,922.855867991615,3824.2596203394714,-909.1662823928847,1114.3702528666593,4783.782083555992,-617.7142423123775,939.6554981098484,3092.332118115238,-617.7142423123775,1188.232941763671,4051.8545813317587
-911.0502641530287,959.623275737281,3794.378037575632,-911.0502641530287,1172.024581607243,4810.97885744878,-618.9678956962748,998.2381998413737,3062.2443610571618,-618.9678956962748,1281.0100407669163,4078.84518093031
-913.3090851231433,935.1525030363509,3799.9174727991126,-913.3090851231433,1139.1735832100917,4802.928949621992,-620.4710525513586,998.1717803023704,3067.4013724663428,-620.4710525513586,1277.2903763580862,4070.412849289222
-915.6995314435078,842.3994493561211,3845.2726524809905,-915.6995314435078,1007.590617426119,4755.131092559078,-622.0650511668999,929.9961952197679,3112.3102436478293,-622.0650511668999,1163.4334571848258,4022.1686837259167
-917.8852136149987,674.9108028090001,3932.3659400085103,-917.8852136149987,779.8360023196698,4665.512085136399,-623.5276361040892,782.480485281395,3199.050057771674,-623.5276361040892,937.482724583317,3932.1962028995626
-919.5445233918603,430.8306995961566,4058.2832538346356,-919.5445233918603,473.8879134945245,4536.838795767733,-624.6444098339955,547.4566936787268,3324.857576814292,-624.6444098339955,616.3683439445545,3803.4131187473895
-920.5095264488461,119.48057170701959,4212.988566948016,-920.5095264488461,124.24456028547645,4379.066871899753,-625.3021761144403,229.0849309901242,3479.7764944218866,-625.3021761144403,239.01658004895884,3645.854799373623
-920.8727245723661,-233.6764472200634,4379.7562545671435,-920.8727245723661,-225.18208427839954,4208.9580054476,-625.5591852971229,-148.49059062131565,3647.039779381774,-625.5591852971229,-142.71234241136742,3476.2415302622303
-920.981034691722,-589.862150858976,4539.476622486034,-920.981034691722,-534.7088820462627,4045.774029361963,-625.6415587027054,-543.4752639032447,3807.377473242806,-625.6415587027054,-482.56235233068475,3313.6748801187346
-921.2841528628668,-908.43441266565,4676.346364756299,-921.2841528628668,-780.1137420691786,3905.51975617668,-625.8454312065351,-909.4036614223475,3944.777013624722,-625.8454312065351,-753.88643731729,3173.9504050451023
-922.1214788644676,-1158.9695276780528,4781.096148439319,-922.1214788644676,-954.3151483903141,3797.6181826791612,-626.3951130278834,-1209.2015836310793,4049.810648534261,-626.3951130278834,-950.2790216668072,3066.3326827741025
-923.5749908301135,-1327.5412077921847,4851.062302518737,-923.5749908301135,-1062.443148035779,3724.7718860618807,-627.3493186458314,-1422.465244994977,4119.775062430004,-627.3493186458314,-1077.893334208929,2993.484645973148
-925.4648266881535,-1417.1696277868812,4888.87690634318,-925.4648266881535,-1116.4539445098812,3684.2698192113776,-628.5969905372601,-1546.3391758745686,4157.384027652673,-628.5969905372601,-1148.1444496034362,2952.77694052087
-927.4872631417422,-1444.1592340157051,4900.9906454530155,-927.4872631417422,-1131.474418659344,3669.523571732832,-629.9350363425178,-1593.1185759811276,4169.230577765961,-629.9350363425178,-1174.2614806810539,2937.763504045777
-929.2576038930231,-1443.297871014801,4899.634601020128,-929.2576038930231,-1130.6350379532373,3668.1286513812784,-631.1163228463603,-1593.9960463426153,4167.723581439618,-631.1163228463603,-1174.4947767021056,2936.2176318007687
-930.5990027572125,-1448.7992273768434,4898.151266569944,-930.5990027572125,-1134.7942361797323,3666.665493084503,-632.034625454627,-1588.6057889272029,4166.285065878748,-632.034625454627,-1170.3532918548308,2934.7992923933084
-931.921277097354,-1451.0031493241838,4896.665634080866,-931.921277097354,-1136.4083170285805,3665.19244217655,-632.9240434040711,-1586.6080298341897,4164.857573208284,-632.9240434040711,-1168.7763495095362,2933.3843813039675
-933.2920138651027,-1451.173007613345,4895.1992094897405,-933.2920138651027,-1136.4384098820922,3663.722709771306,-633.8400107769404,-1586.6814327396323,4163.42781121785,-633.8400107769404,-1168.7146493523019,2931.951311499416
-934.6815228913912,-1451.0482282650778,4893.73653031733,-934.6815228913912,-1136.2375573522686,3662.2589865661953,-634.7687513865674,-1587.0318000252903,4161.992708918422,-634.7687513865674,-1168.847088699514,2930.5151651672863
-936.0701188880082,-1451.0853929086768,4892.271301076074,-936.0701188880082,-1136.1624708843506,3660.797901207401,-635.6977993225072,-1587.2041600906018,4160.555178509414,-635.6977993225072,-1168.847669544292,2929.0817786407406
-937.454853916432,-1451.220376007438,4890.804861416855,-937.454853916432,-1136.1630612825027,3659.336162274921,-636.624557591986,-1587.2795893892085,4159.118201948328,-636.624557591986,-1168.7783172592428,2927.6495028063937
-938.8373082197272,-1451.3697640381063,4889.338092584188,-938.8373082197272,-1136.1743462734194,3657.873448338131,-637.5497570606972,-1587.3450154410161,4157.682024383418,-637.5497570606972,-1168.7028617252067,2926.217380137361
-940.2183442846423,-1451.5150353529518,4887.871551934682,-940.2183442846423,-1136.1817010476323,3656.409628635458,-638.4739491099729,-1587.4204435579977,4156.246797973445,-638.4739491099729,-1168.6354521767807,2924.78487467422
-941.5980117229327,-1451.6606978607401,4886.4054534063835,-941.5980117229327,-1136.1884823612697,3654.94455744932,-639.3972008122321,-1587.5022530304202,4154.812696915714,-639.3972008122321,-1168.5731935792733,2923.351800958651
-942.9761696893115,-1451.8107145649903,4884.939870078671,-942.9761696893115,-1136.1976894781556,3653.4781359099643,-640.3194330123848,-1587.5870347481173,4153.379849593199,-640.3194330123848,-1168.5135596951368,2921.918115424491
-944.3527131357481,-1451.9657958333091,4883.474772498555,-944.3527131357481,-1136.2098481157523,3652.01038207728,-641.2405761876881,-1587.6740504678694,4151.948268705202,-641.2405761876881,-1168.4560778290383,2920.483878283928
-945.7275699591547,-1452.125448240667,4882.010028361713,-945.7275699591547,-1136.2245951097345,3650.5414329736986,-642.1605805139707,-1587.7631404931378,4150.517848969276,-642.1605805139707,-1168.4007571191783,2919.049253581262
-947.1006719809894,-1452.2890176115388,4880.545418415759,-947.1006719809894,-1136.2414782733274,3649.0715156920523,-643.0794000450816,-1587.8538127494016,4149.08839577219,-643.0794000450816,-1168.3474111668982,2917.614493048483
-948.4719487887407,-1452.455596958348,4879.080588631724,-948.4719487887407,-1136.2599060913662,3647.600991866855,-643.9969877755165,-1587.945085262688,4147.659580523156,-643.9969877755165,-1168.2955750217625,2916.1799837582876
-949.8413315220821,-1452.6237102400257,4877.614968641501,-949.8413315220821,-1136.2789390048179,3646.1304401455077,-644.9132957299979,-1588.0353483116749,4146.230858030296,-644.9132957299979,-1168.24445362367,2914.746329534303
-951.2087406296345,-1452.7924475772438,4876.148124084928,-951.2087406296345,-1136.2980120968537,3644.660297060039,-645.82826403518,-1588.1232061818844,4144.801825448296,-645.82826403518,-1168.193333648751,2913.313998423407
-952.5740078356266,-1452.9676341509428,4874.681786900288,-952.5740078356266,-1136.3208088990173,3643.1887946619386,-646.7417872730763,-1588.21267713736,4143.374284265578,-646.7417872730763,-1168.1442057768097,2911.8812920272294
-953.936887809885,-1453.1608784658913,4873.219975342984,-953.936887809885,-1136.3544685705374,3641.7118599743294,-647.6537739780584,-1588.3147412618946,4141.952340309386,-647.6537739780584,-1168.10281575405,2910.4442249407316
-955.297419058886,-1453.350739686689,4871.756635209663,-955.297419058886,-1136.3850230105531,3640.2356961515725,-648.564569842533,-1588.4168508566813,4140.529822966124,-648.564569842533,-1168.0635433494385,2909.0088839080336
-956.5949773046158,-1453.1804664171982,4870.1768017149525,-956.5949773046158,-1136.1874791396194,3638.87724689877,-649.5416091864154,-1588.2309157782786,4138.989830242402,-649.5416091864154,-1167.882681982466,2907.690275426219
-959.4265265417328,-1325.0970901072508,4827.252152632736,-959.4265265417328,-1053.7899601717743,3679.5451050473025,-651.3763797396285,-1485.9167709221028,4095.427243600126,-651.3763797396285,-1115.6796626955995,2947.7201960146917
-962.8219934735502,-1047.4919501233103,4724.878714637441,-962.8219934735502,-867.7184891982832,3779.945712984821,-653.60367552361,-1219.000031936067,3992.1426443068945,-653.60367552361,-962.8279281631812,3047.209642654275
-965.5309160991781,-643.0611493226467,4561.588269382011,-965.5309160991781,-568.0584287338739,3940.9742662140793,-655.4184280222613,-794.7317429133444,3828.2479016997545,-655.4184280222613,-680.3612823393725,3207.633898531823
-966.806868529784,-191.79059542255283,4361.376215237021,-966.806868529784,-182.64876741236765,4138.28105350315,-656.3141831994132,-300.5488076655926,3628.0929501743462,-656.3141831994132,-283.8229123478366,3404.997788440476
-967.0428632425728,201.2572258137032,4169.1026662548675,-967.0428632425728,208.69068237948562,4327.172755227633,-656.5235495293134,140.34576296370565,3436.3628008117435,-656.5235495293134,145.6172536052597,3594.432889784509
