delta,f_drive,f_brake,gamma_y
1.707127129919311e-05,5960.498545447841,-2.1516331080817097,5.472004056242225
-3.3908189023492704e-07,5967.5887035634105,-2.172038925250386,3.1435855293178556
-1.6923544168389972e-05,5974.707252031758,-2.2206659280012704,0.8721171617699256
-3.277523370219141e-05,5961.478928930632,-0.007222770237163009,-1.3536005596058647
-4.8677439571033396e-05,5915.452181244048,-0.007483764813040297,-3.584424088591646
-6.518164108812044e-05,5870.909770464328,-0.007786119098397474,-5.880541374066278
-8.277354009957955e-05,5827.771478150545,-0.008108855461473791,-8.306629109043147
-0.00010193354423876832,5785.9631137280785,-0.008454118650029586,-10.930420361844016
-0.0001232053675796747,5745.415949040872,-0.008824429848159022,-13.826257944027672
-0.00014727894404028985,5706.066208082726,-0.009222711520132518,-17.08220259065703
-0.00017509495974449632,5667.854614576221,-0.009652359147211746,-20.810641928182193
-0.00020797657049249522,5630.725990148095,-0.010117337882269106,-25.162869043280214
-0.000247789000969766,5594.628897147687,-0.01062230660144059,-30.348112738017257
-0.00029711916607410015,5559.515321406216,-0.011172777156488881,-36.65702406999517
-0.0003594548920329038,5525.340391532104,-0.011775320443718472,-44.48859926828276
-0.00043932728556100024,5492.062132787422,-0.012437835168518352,-54.37790819996962
-0.000542362299589039,5459.641255268142,-0.013169900849699977,-67.01985543764872
-0.0006751723450916067,5428.040977963562,-0.013983246311232376,-83.281746808621
-0.0008450107770639742,5397.226891936267,-0.014892383210002665,-104.19507005063919
-0.0010591152996135022,5367.16686641769,-0.015915484423398036,-130.91513719749142
-0.0013236835243968074,5337.830999325623,-0.017075631715943763,-164.63666629956654
-0.001642460050923625,5309.1916060603235,-0.018402625969541772,-206.45487970681512
-0.0020149794111221234,5281.223227982718,-0.019935672160466596,-257.16673778257945
-0.002434614075288732,5253.902669862969,-0.021727495032000714,-317.0173987818867
-0.0028867277123549922,5227.209047744234,-0.023850793459848772,-385.41467531620805
-0.003347428143401377,5201.12352345493,-0.026408342114152262,-460.6597706870583
-0.003783628383126848,5175.628472434838,-0.02954948854422954,-539.7706878922605
-0.00415528658310995,5150.70639487158,-0.03349908152521859,-618.4935744339776
-0.004420656551994978,5126.338836732512,-0.03861097517764795,-691.5950902798041
-0.0045448534506984046,5102.505400675339,-0.04547508299895915,-753.4917130173814
-0.004510425321134883,5079.1831732060355,-0.05515965404371981,-799.1770163855349
-0.004324428501017181,5056.34166043054,-0.08005617603365858,-825.1750374323437
-0.004006423707969638,4871.755159264936,-2.72702865398621,-831.1881501686214
-0.0036725647134937043,3744.8092659591794,-3.550640775418843,-831.161833149881
-0.003216688066201723,2027.163506667907,-6.550725713244739,-831.105189725676
-0.002615708182316107,141.50539700381483,-93.3424635885218,-831.1585916925002
-0.0019799546495508835,7.226730312762104,-1845.9154855208715,-831.1778743839424
-0.0014082016894390946,4.032741581717891,-3306.0002019568074,-831.215432134502
-0.0010155638812877573,0.21208481249213007,-3999.891680497013,-831.2431512456161
-0.0008824182779320907,0.0610201955689482,-3999.9693879882166,-831.2501982644849
-0.0009304759376309403,0.04897664513964646,-3999.9754769244223,-831.2483008679762
-0.001005578164074436,0.04084067803335478,-3999.9795822124943,-831.2497267431946
-0.0010610955749235026,0.0349488597337849,-3999.9825510169303,-831.2533476410929
-0.001104197193282707,0.030476003207297455,-3999.984802449185,-831.256766773687
-0.0011460601098746178,0.026964281543491706,-3999.9865686441103,-831.2595258255282
-0.001190173026246323,0.024134945947055307,-3999.9879907234067,-831.2618185022243
-0.0012361220649775594,0.02180710494975584,-3999.9891601377153,-831.2638058855284
-0.001283180222179275,0.01985796527608484,-3999.990138892116,-831.2655586636264
-0.001331144523988554,0.018200813621979832,-3999.9909707301463,-831.2671125088935
-0.0013800782993902603,0.016773169582067572,-3999.9916871467863,-831.268495091045
-0.0014300680218387483,0.015530172385359663,-3999.992310743598,-831.2697300364813
-0.0014811671980397931,0.014438726673624488,-3999.9928581870554,-831.2708370399582
-0.0015334134979027923,0.013472995153469867,-3999.9933424817573,-831.2718332627293
-0.0015868443962890047,0.012612426524344687,-3999.993773966806,-831.2727351899017
-0.0016415007716221912,0.011840666979223815,-3999.994160866439,-831.2735588756835
-0.0016974261175010026,0.011144611903823343,-3999.9945097687505,-831.2743119429707
-0.0017546656266416133,0.010513878746516495,-3999.9948258921904,-831.2749731263622
-0.0018132663592713317,0.00994044524960992,-3999.995113268508,-831.2754881338523
-0.0018732788149503953,0.009417308730629945,-3999.995375415736,-831.2758426662165
-0.0019347524614808786,0.008935605308710678,-3999.9956167822465,-831.2758521161843
-0.0019977453476182727,0.008489041220082856,-3999.995840526712,-831.2755615160651
-0.0020623200307448705,0.00807557547067879,-3999.996047675885,-831.2752580904662
-0.002128532902789467,0.0076916778241281685,-3999.9962400018635,-831.2749419054156
-0.0021964463378687593,0.007334304044898955,-3999.9964190325413,-831.2746131771968
