s,raceline_x,raceline_y,psi,kappa,vx,ax
25.991944180127135,232.9295511680105,24.93302587533128,-0.7649515524362608,-2.6555252698580413e-05,39.93842958793821,3.7146121220750796
27.991324501675376,234.31416587780853,26.375371784906772,-0.7650084527961988,-3.0461354527700537e-05,40.12395796414931,3.7017466522165035
29.990704823223616,235.69887231960013,27.817637367913708,-0.7650734585374478,-3.456444972881905e-05,40.3079942633272,3.6603667987747834
31.990085144771857,237.0836712089861,29.259799221878204,-0.7651472004454609,-3.92004531073703e-05,40.489150796561,3.6484715118573097
33.9894654663201,238.46858675361094,30.701856227039443,-0.7652303909404541,-4.41953794719388e-05,40.66891560535798,3.6362174693488045
35.98884578786834,239.85363448900793,32.14379573148981,-0.7653241065363642,-4.954897378083427e-05,40.847289503979354,3.5969511857630856
37.98822610941658,241.23881633974912,33.585587999010755,-0.765429495850896,-5.5873255710070934e-05,41.02297413229166,3.5855845760062537
39.987606430964824,242.624163747456,35.027230041928405,-0.765547858815129,-6.285580557526331e-05,41.19735793887392,3.573875560137855
41.98698675251306,244.00969809075323,36.46870381905167,-0.7656811705030119,-7.049653239520191e-05,41.3704408252668,3.5365371872918847
43.986367074061306,245.39542533680398,37.909969907158484,-0.7658315412594305,-7.992156769238923e-05,41.54100552218605,3.52564608964302
45.98574739560954,246.78138835743295,39.351019965675086,-0.7660013551151836,-9.054473294483845e-05,41.710350689235916,3.5144169107361125
47.98512771715779,248.16761922019754,40.79182606749717,-0.7661942084348141,-0.00010236718111222463,41.87847497993602,3.478837293425062
49.984508038706025,249.5541330618504,42.23233302380964,-0.7664138703519117,-0.00011736543957466254,42.04423508993607,3.468362307830582
51.98388836025427,250.94099155892397,43.67252101747668,-0.7666645487180028,-0.00013442100145693033,42.208848065190836,3.457549105125208
53.98326868180251,252.32824565176443,45.112344638790276,-0.7669524212095576,-0.0001535385345761941,42.37231131615919,3.4235375661239633
55.98264900335075,253.71592779834384,46.551722940140536,-0.7672837173091609,-0.00017786775715676468,42.53354762482306,3.4134051228654165
57.98202932489899,255.10412991258409,47.990615380959134,-0.7676652442852926,-0.00020536524036832528,42.69370051444767,3.402923464006284
59.98140964644723,256.49293351660924,49.42894810812344,-0.7681065203948029,-0.00023604342920438223,42.8527658388194,3.370234816499511
61.98078996799547,257.8823988767738,50.866600481228375,-0.7686167290563088,-0.00027434106276173027,43.00972334692353,3.360323548426427
63.980170289543715,259.2726628655253,52.30350017288404,-0.7692055265386261,-0.0003166513783967804,43.16565106577702,3.3500391666617184
65.97955061109195,260.6638501108708,53.739532681052346,-0.7698849730938918,-0.0003629975643771133,43.320542894854114,3.318311943865379
67.9789309326402,262.0560570678636,55.17452322913253,-0.7706665678171832,-0.00041887345551661537,43.47342374264467,3.308421994680305
69.97831125418844,263.44947775669215,56.6083612991495,-0.7715574743186846,-0.00046981888172115295,43.62531558132988,3.298117884102978
71.97769157573669,264.8442615239556,58.04090831724794,-0.7725427364096431,-0.0005157346557145948,43.776209789814686,3.266861038934368
73.97707189728492,266.24051052980707,59.47197300706844,-0.7736533149977254,-0.0005953529905844798,43.92516293550683,3.25680782488545
75.97645221883316,267.638482075596,60.90139401593637,-0.7749259325621559,-0.0006802137360419822,44.073156613329886,3.246279493375481
77.9758325403814,269.0383916312304,62.32890635215238,-0.7763759759895629,-0.000770283973563089,44.2201789745101,3.2152623661416015
79.97521286192965,270.440495796911,63.754268713051495,-0.7779955616565953,-0.0008497386052299195,44.365316330943266,3.2050168506226013
81.97459318347788,271.8450204135131,65.17724791793503,-0.7797735286482533,-0.000928368845500705,44.50952019947409,3.194236189188065
83.97397350502612,273.25216471918276,66.59759847588259,-0.7817075044201609,-0.0010062372714652306,44.65277566227515,3.1637391374690846
85.97335382657437,274.66219400728903,68.01515337605296,-0.7837890038198266,-0.0010758235824718562,44.79421179006733,3.153722076048141
87.97273414812261,276.07525374065114,69.42965801782775,-0.7860063114795822,-0.0011387982828089877,44.934757032951374,3.1431458283116256
89.97211446967084,277.4914935634675,70.84090649834668,-0.7883393248209156,-0.0011950048590142386,45.07439492044389,3.1144723422061293
91.97149479121909,278.9111618378687,72.24884364561895,-0.7907673021196379,-0.0012335112191972925,45.21233357027886,3.1054854499967526
93.97087511276733,280.33426518667545,73.65324492865308,-0.7932668544804197,-0.0012614688150163074,45.349456445092265,3.0959784882157058
95.97025543431558,281.7608485939012,75.05399865949313,-0.7958060644073014,-0.0012786342708790911,45.4857480623972,2.950720935010124
97.96963575586382,283.19110871250206,76.45121713707863,-0.7983599988033604,-0.001275806283380701,45.61526612373921,2.5438519879285657
99.96901607741205,284.62487535008836,77.84473198924061,-0.8009059803005087,-0.0012689634047949971,45.72663073910805,2.119610507648218
101.9683963989603,286.0620926889472,79.23452819872922,-0.8034321645881535,-0.001258145340246046,45.81921620703937,0.8619754179036645
103.96777672050854,287.5029575997312,80.62085385665941,-0.8059380855259871,-0.001248429704193422,45.85681418506795,0.13642116921103778
105.96715704205678,288.94720200085413,82.00350475914675,-0.8084256681131863,-0.0012410634526398004,45.86276183142676,-0.59996935156735
107.96653736360501,290.39477084648104,83.38247020742249,-0.8109018897277366,-0.0012361019153007116,45.836598793715744,-1.9800510848934798
109.96591768515326,291.8459461112239,84.75804075585715,-0.8133744248619122,-0.0012370671178920873,45.75014796289156,-2.521791353924472
111.9652980067015,293.3004203200395,86.12992346305136,-0.8158505300836336,-0.0012414813497572967,45.639807171046385,-3.058723951362231
113.96467832824975,294.75817365406243,87.49807690365881,-0.8183403809291174,-0.0012493534130981804,45.505613869669894,-3.573877670115324
115.96405864979798,296.2195812810252,88.86280433847531,-0.8208526543703724,-0.0012635032391771863,45.34831653198379,-3.569014688193874
117.96343897134622,297.68431453185553,90.2237263567113,-0.823392842895411,-0.001277212384974833,45.19068683717046,-3.5640355328526128
119.96281929289447,299.152385709652,91.58078135411702,-0.8259595040790819,-0.0012904468155221123,45.03272645305682,-3.565961634491694
121.96219961444271,300.6242074623116,92.93428117090227,-0.8285492662965733,-0.0012999013139062617,44.87412422273047,-3.56081462319917
123.96157993599094,302.09941885619315,94.28383828954658,-0.8311575216940852,-0.0013089187805942616,44.71518958233806,-3.555481789541151
125.96096025753918,303.5780195234397,95.62940537684914,-0.833782899219905,-0.0013175172870422199,44.55592731317766,-3.556991603445803
