n,xi,v,beta,omega_z
-0.09821109581834518,0.002158668825293322,11.33902030435157,-8.121579546972519e-05,-0.0006701112537836089
-0.09224499136265346,0.001985737647782961,11.368096342981403,-8.289850909924271e-05,-0.0006312089752104296
-0.0868689477670796,0.0017875132954317992,11.394084166088007,-9.747755915544841e-05,-0.0008028431092833858
-0.08211748137440467,0.0015832752115349732,11.419244734078692,-0.00010155497725554577,-0.0008073943943727135
-0.07797854999658782,0.0013834406276746816,11.443852794978229,-0.00010328458901882563,-0.000822119675007312
-0.07441607533144946,0.001196629976183573,11.467918763976192,-0.00010113739314605861,-0.0007930665371888321
-0.07137253282375655,0.0010295185740429322,11.491426445051829,-9.660947032898806e-05,-0.0007484179513764916
-0.06877365384800016,0.0008876989056417216,11.514360642069269,-8.982032410116692e-05,-0.0006832590338961115
-0.06653274478410688,0.0007750275486821123,11.536709265775254,-8.155763063194606e-05,-0.0006076559226133955
-0.06455702711237854,0.0006932398419166324,11.55846291666895,-7.256466305524464e-05,-0.0005285009494692203
-0.06275388652401484,0.0006419945033366793,11.579614389981941,-6.360135847268779e-05,-0.00045361752403144976
-0.06103584955228108,0.0006193988747538018,11.600158278543448,-5.5206588028714805e-05,-0.00038787953855334595
-0.059323882321493424,0.0006225361998536685,11.620090649806027,-4.7747125968984e-05,-0.0003345472551463556
-0.057549592205721124,0.0006477932911108954,11.639408778815971,-4.147783363509617e-05,-0.00029582705328979334
-0.055657408167397456,0.000690792730882625,11.658110926444847,-3.6687913874340036e-05,-0.0002747060441732604
-0.05360686566815886,0.0007463966869082774,11.67619615288476,-3.3651049114701625e-05,-0.000273927687610358
-0.05137401769377549,0.0008090696480265454,11.69366415989885,-3.249989748485831e-05,-0.00029448155252324485
-0.04895202449297604,0.000873101140317247,11.710515159756655,-3.32976466549507e-05,-0.00033686124555844
-0.04635238445284101,0.0009322827667920196,11.726749768100449,-3.6231633095318146e-05,-0.0004034638403558563
-0.04360766519317716,0.0009793973589438795,11.742368916332412,-4.165545411019687e-05,-0.0004987320259568817
-0.040775368050022374,0.0010058883267121445,11.757373780800929,-5.0017892470495136e-05,-0.0006281692302586591
-0.03794241224590922,0.0010016743220787065,11.771765727810378,-6.181978532624925e-05,-0.0007979285869946838
-0.03522967256042444,0.0009551689205063564,11.785546274011063,-7.754036304622965e-05,-0.001013895275546977
